Provinsi,Upah_Rata_Rata_Per_Jam,Tingkat_Pengangguran_Terbuka,Angka_Melek_Huruf,Produk_Domestik_Regional_Bruto_Per_Kapita,Air_dan_Sanitasi_Layak
ACEH,16772,5.75,99.94,26063.5,68.04
SUMATERA UTARA,15131,5.24,99.92,37943.83,69.5
SUMATERA BARAT,15887,5.90,99.87,32377.51,81.33
RIAU,18626,4.25,99.92,80057.79,73.03
JAMBI,16042,4.50,99.90,44536.39,74.73
SUMATERA SELATAN,15978,4.53,99.95,39676.95,73.99
BENGKULU,16501,3.21,99.85,24230.02,79.18
LAMPUNG,13218,4.18,99.90,28064.39,79.3
KEP. BANGKA BELITUNG,18132,3.89,99.88,38674.15,90.82
KEP. RIAU,23528,7.61,99.96,87238.26,82.38
DKI JAKARTA,32685,7.57,99.93,182908.7,79.13
JAWA BARAT,19038,7.89,99.97,32182.15,7.89E+01
JAWA TENGAH,12604,5.24,99.96,28362.24,8.67E+01
DI YOGYAKARTA,14916,3.58,99.93,30011.22,86.08
JAWA TIMUR,15119,4.33,99.94,42717.44,8.12E+01
BANTEN,23880,7.97,99.91,39515.38,80.54
BALI,16857,3.73,99.94,34160.65,90.43
NUSA TENGGARA BARAT,11734,3.73,99.88,18648.19,74.25
NUSA TENGGARA TIMUR,13012,3.10,99.27,13298.85,56.67
KALIMANTAN BARAT,16337,4.52,99.89,26774.75,74.77
KALIMANTAN TENGAH,19795,3.84,99.85,39799.98,79.93
KALIMANTAN SELATAN,18661,3.95,99.92,34035.52,86.37
KALIMANTAN TIMUR,22281,6.37,99.96,131136.6,80.07
KALIMANTAN UTARA,20320,4.10,99.60,91424.16,88.33
SULAWESI UTARA,18335,6.19,99.91,36385.08,85.95
SULAWESI TENGAH,15890,3.49,99.82,56285.05,81.67
SULAWESI SELATAN,17257,5.26,99.80,39115.98,87.22
SULAWESI TENGGARA,17542,3.66,99.91,37998.09,86.07
GORONTALO,14289,03.07,99.85,25392.4,85.34
SULAWESI BARAT,14774,03.04,99.52,23073.25,77.32
MALUKU,17006,06.08,99.91,17708.13,82.58
MALUKU UTARA,18278,4.60,99.87,30506.5,81.55
PAPUA BARAT,24128,5.53,99.66,52833.61,76.03
PAPUA,24097,3.49,92.04,39131.31,40.91