Provinsi,Upah_Rata_Rata_Per_Jam,Tingkat_Setengah_Pengangguran,Persentase_anak_dibawah_umur_yang_bekerja,Proporsi_Lapangan_Kerja_Informal,Laju_Pertumbuhan_PDB_Per_Tenaga_Kerja,Laju_Pertumbuhan_Produk_Domestik_Regional_Bruto_Per_Kapita,Produk_Domestik_Regional_Bruto_Per_Kapita,Jumlah_Perjalanan_Wisatawan_Nusantara,Persentase_Usia Muda_Yang_Sedang_Tidak_Sekolah_Bekerja_Atau_Mengikuti_Pelatihan
ACEH,16772,"10,46","1,01","61,45","2,75","2,78","26063,5",7483957,"28,99"
SUMATERA UTARA,15131,"6,83","4,02","59,07","2,37","3,48","37943,83",21892296,"20,71"
SUMATERA BARAT,15887,"8,68","2,48","65,26","0,22","3,24","32377,51",10750168,"20,23"
RIAU,18626,"7,42","2,04","54,02","3,89","2,64","80057,79",9084411,"24,33"
JAMBI,16042,"7,46","1,57","59,98","2,15","3,8","44536,39",3892005,"23,86"
SUMATERA SELATAN,15978,"7,08","2,72","63,28","2,53","3,94","39676,95",8088606,"25,32"
BENGKULU,16501,"8,02","1,79","67,54","2,73","2,93","24230,02",1988998,"22,49"
LAMPUNG,13218,"6,92","2,48","71,51","1,82","3,2","28064,39",10745577,"22,63"
KEP. BANGKA BELITUNG,18132,"3,37","2,97","49,63","0,18","2,9","38674,15",1586000,"21,87"
KEP. RIAU,23528,"4,95","1,87","36,32","-1,14","2,12","87238,26",782185,"18,74"
DKI JAKARTA,32685,"2,71","0,61","36,88","2,27","4,55","182908,7",63081040,"17,19"
JAWA BARAT,19038,"5,62","1,82","54,61","0,33","4,12","32182,15","1,29E+08","27,85"
JAWA TENGAH,12604,"5,39","2,41","60,16","2,14","4,49","28362,24","1,04E+08","20,44"
DI YOGYAKARTA,14916,"4,76","1,69","53,38","4,55","3,78","30011,22",18888517,"10,7"
JAWA TIMUR,15119,"5,77","1,51","63,86","2,53","4,64","42717,44","1,99E+08","22,07"
BANTEN,23880,"4,57","1,9","47,96","0,75","3,4","39515,38",48935825,"27,29"
BALI,16857,"3,93","4,04","53,43","-1,81","3,59","34160,65",11132389,"11,32"
NUSA TENGGARA BARAT,11734,"13,3",4,"75,36","4,56","5,32","18648,19",4030281,"23,3"
NUSA TENGGARA TIMUR,13012,"12,5","5,12","75,24","-0,72","1,57","13298,85",3264914,"18,84"
KALIMANTAN BARAT,16337,"7,21","3,19","58,77","1,98","3,73","26774,75",3138799,"24,35"
KALIMANTAN TENGAH,19795,"5,38","2,31","51,5","6,61","4,94","39799,98",2438971,"26,54"
KALIMANTAN SELATAN,18661,"6,76","2,06","57,3","5,97","3,61","34035,52",5716978,"23,57"
KALIMANTAN TIMUR,22281,"4,81","1,79","44,26","2,9","3,09","131136,6",5266467,"20,08"
KALIMANTAN UTARA,20320,"6,19","4,15",49,"0,63","3,29","91424,16",334625,"20,3"
SULAWESI UTARA,18335,"6,27","1,72","59,15","2,41","4,59","36385,08",4809131,"33,54"
SULAWESI TENGAH,15890,"7,62","3,96","67,87","10,7","13,51","56285,05",5205728,"23,99"
SULAWESI SELATAN,17257,"6,23","4,32","63,55","0,43","4,11","39115,98",30089324,"22,61"
SULAWESI TENGGARA,17542,"8,14","4,11","62,39","4,83","3,87","37998,09",12754805,"21,61"
GORONTALO,14289,"6,1","6,78","64,97","-1,93","3,01","25392,4",1619987,"28,03"
SULAWESI BARAT,14774,"13,04","6,31","77,25","-4,04","0,77","23073,25",3021169,"22,51"
MALUKU,17006,"11,8","2,87","63,3","4,06","4,04","17708,13",596315,"30,89"
MALUKU UTARA,18278,"9,28","2,45","65,63","19,52","21,06","30506,5",1146400,"29,52"
PAPUA BARAT,24128,"12,29","2,82","60,28","1,16","-0,28","52833,61",473811,"26,29"
PAPUA,24097,"5,85","4,5","84,11","6,32","7,41","39131,31",1052891,"20,07"